_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_
2764,2014,D32,Controlled Drugs and Substances Act,Other,1
3901,2014,D42,Controlled Drugs and Substances Act,Other,1
5630,2014,D11,Controlled Drugs and Substances Act,Other,4
5631,2014,D11,Controlled Drugs and Substances Act,Other,30
5707,2014,D32,Controlled Drugs and Substances Act,Other,6
6138,2014,D55,Controlled Drugs and Substances Act,Other,30
6167,2014,D52,Controlled Drugs and Substances Act,Other,4
6306,2014,D55,Controlled Drugs and Substances Act,Other,18
6509,2014,D41,Controlled Drugs and Substances Act,Other,62
6679,2014,D14,Controlled Drugs and Substances Act,Other,47
6680,2014,D11,Controlled Drugs and Substances Act,Other,56
6696,2014,D55,Controlled Drugs and Substances Act,Other,25
6857,2014,D32,Controlled Drugs and Substances Act,Other,3
6899,2014,D42,Controlled Drugs and Substances Act,Other,19
6975,2014,D55,Controlled Drugs and Substances Act,Other,5
7017,2014,D51,Controlled Drugs and Substances Act,Other,18
7020,2014,D12,Controlled Drugs and Substances Act,Other,16
7192,2014,D55,Controlled Drugs and Substances Act,Other,61
7240,2014,D31,Controlled Drugs and Substances Act,Other,85
7293,2014,D51,Controlled Drugs and Substances Act,Other,30
7460,2014,D42,Controlled Drugs and Substances Act,Other,30
7687,2014,D32,Controlled Drugs and Substances Act,Other,30
8118,2014,D42,Controlled Drugs and Substances Act,Other,32
8169,2014,D43,Controlled Drugs and Substances Act,Other,8
8237,2014,D55,Controlled Drugs and Substances Act,Other,7
8320,2014,D51,Controlled Drugs and Substances Act,Other,229
8486,2014,D32,Controlled Drugs and Substances Act,Other,12
8920,2014,D23,Controlled Drugs and Substances Act,Other,1
9395,2014,D22,Controlled Drugs and Substances Act,Other,5
9672,2014,D14,Controlled Drugs and Substances Act,Other,7
9779,2014,D31,Controlled Drugs and Substances Act,Other,48
9898,2014,D23,Controlled Drugs and Substances Act,Other,75
9913,2014,D42,Controlled Drugs and Substances Act,Other,2
10008,2014,D52,Controlled Drugs and Substances Act,Other,14
10061,2014,D22,Controlled Drugs and Substances Act,Other,10
10345,2014,D52,Controlled Drugs and Substances Act,Other,72
10540,2014,D42,Controlled Drugs and Substances Act,Other,17
10815,2014,D53,Controlled Drugs and Substances Act,Other,16
10924,2014,D32,Controlled Drugs and Substances Act,Other,6
10997,2014,D42,Controlled Drugs and Substances Act,Other,7
11210,2014,D13,Controlled Drugs and Substances Act,Other,35
11280,2014,D11,Controlled Drugs and Substances Act,Other,14
11775,2014,D53,Controlled Drugs and Substances Act,Other,1
11801,2014,D33,Controlled Drugs and Substances Act,Other,7
11912,2014,D42,Controlled Drugs and Substances Act,Other,3
12059,2014,D51,Controlled Drugs and Substances Act,Other,4
12069,2014,D55,Controlled Drugs and Substances Act,Other,12
12076,2014,D11,Controlled Drugs and Substances Act,Other,9
12463,2014,D32,Controlled Drugs and Substances Act,Other,2
12516,2014,D13,Controlled Drugs and Substances Act,Other,4
12549,2014,D53,Controlled Drugs and Substances Act,Other,3
12559,2014,D22,Controlled Drugs and Substances Act,Other,33
12853,2014,D13,Controlled Drugs and Substances Act,Other,6
12987,2014,D11,Controlled Drugs and Substances Act,Other,20
13010,2014,D51,Controlled Drugs and Substances Act,Other,51
13019,2014,D43,Controlled Drugs and Substances Act,Other,31
13045,2014,D13,Controlled Drugs and Substances Act,Other,33
13111,2014,D32,Controlled Drugs and Substances Act,Other,16
13238,2014,D41,Controlled Drugs and Substances Act,Other,38
13401,2014,D32,Controlled Drugs and Substances Act,Other,10
13499,2014,D33,Controlled Drugs and Substances Act,Other,16
13533,2014,D22,Controlled Drugs and Substances Act,Other,9
14011,2014,D23,Controlled Drugs and Substances Act,Other,1
14152,2014,D11,Controlled Drugs and Substances Act,Other,15
14522,2014,D43,Controlled Drugs and Substances Act,Other,58
14548,2014,D22,Controlled Drugs and Substances Act,Other,5
14608,2014,D23,Controlled Drugs and Substances Act,Other,2
14697,2014,D23,Controlled Drugs and Substances Act,Other,25
14850,2014,D33,Controlled Drugs and Substances Act,Other,8
14914,2014,D32,Controlled Drugs and Substances Act,Other,14
15042,2014,D53,Controlled Drugs and Substances Act,Other,6
15099,2014,D52,Controlled Drugs and Substances Act,Other,29
15105,2014,D11,Controlled Drugs and Substances Act,Other,8
15793,2014,D14,Controlled Drugs and Substances Act,Other,1
15794,2014,D14,Controlled Drugs and Substances Act,Other,34
15979,2014,D23,Controlled Drugs and Substances Act,Other,8
16005,2014,D31,Controlled Drugs and Substances Act,Other,24
16078,2014,D53,Controlled Drugs and Substances Act,Other,14
16108,2014,D22,Controlled Drugs and Substances Act,Other,29
16163,2014,NSA,Controlled Drugs and Substances Act,Other,1
16262,2014,D14,Controlled Drugs and Substances Act,Other,66
16361,2014,D33,Controlled Drugs and Substances Act,Other,1
16391,2014,D33,Controlled Drugs and Substances Act,Other,1
16471,2014,D52,Controlled Drugs and Substances Act,Other,16
16964,2014,D55,Controlled Drugs and Substances Act,Other,1
17440,2014,D33,Controlled Drugs and Substances Act,Other,18
17640,2014,D32,Controlled Drugs and Substances Act,Other,2
17878,2014,D55,Controlled Drugs and Substances Act,Other,21
17921,2014,D42,Controlled Drugs and Substances Act,Other,28
18482,2014,D12,Controlled Drugs and Substances Act,Other,37
18493,2014,D12,Controlled Drugs and Substances Act,Other,63
18719,2014,D55,Controlled Drugs and Substances Act,Other,40
18838,2014,D14,Controlled Drugs and Substances Act,Other,44
18967,2014,D55,Controlled Drugs and Substances Act,Other,17
19057,2014,D41,Controlled Drugs and Substances Act,Other,37
19069,2014,D22,Controlled Drugs and Substances Act,Other,3
19105,2014,D43,Controlled Drugs and Substances Act,Other,53
19611,2014,D12,Controlled Drugs and Substances Act,Other,24
19659,2014,D42,Controlled Drugs and Substances Act,Other,11
19770,2014,D11,Controlled Drugs and Substances Act,Other,20
19936,2014,D14,Controlled Drugs and Substances Act,Other,10
20407,2014,D55,Controlled Drugs and Substances Act,Other,5
20470,2014,D13,Controlled Drugs and Substances Act,Other,3
20881,2014,D53,Controlled Drugs and Substances Act,Other,10
21095,2014,D23,Controlled Drugs and Substances Act,Other,12
21160,2014,D23,Controlled Drugs and Substances Act,Other,17
21439,2014,D22,Controlled Drugs and Substances Act,Other,10
21441,2014,D43,Controlled Drugs and Substances Act,Other,6
21532,2014,D31,Controlled Drugs and Substances Act,Other,20
21957,2014,D12,Controlled Drugs and Substances Act,Other,11
21981,2014,D33,Controlled Drugs and Substances Act,Other,1
22204,2014,D52,Controlled Drugs and Substances Act,Other,48
22244,2014,D41,Controlled Drugs and Substances Act,Other,42
22334,2014,D42,Controlled Drugs and Substances Act,Other,1
22638,2014,D53,Controlled Drugs and Substances Act,Other,12
22825,2014,D14,Controlled Drugs and Substances Act,Other,21
22955,2014,D13,Controlled Drugs and Substances Act,Other,12
23013,2014,D51,Controlled Drugs and Substances Act,Other,76
23038,2014,D42,Controlled Drugs and Substances Act,Other,16
23200,2014,D53,Controlled Drugs and Substances Act,Other,23
23416,2014,D12,Controlled Drugs and Substances Act,Other,13
23790,2014,D12,Controlled Drugs and Substances Act,Other,52
23820,2014,D41,Controlled Drugs and Substances Act,Other,7
23887,2014,D53,Controlled Drugs and Substances Act,Other,9
24477,2014,D55,Controlled Drugs and Substances Act,Other,3
24542,2014,D33,Controlled Drugs and Substances Act,Other,11
24625,2014,D43,Controlled Drugs and Substances Act,Other,10
24689,2014,D13,Controlled Drugs and Substances Act,Other,1
24694,2014,D52,Controlled Drugs and Substances Act,Other,3
24730,2014,D33,Controlled Drugs and Substances Act,Other,25
24765,2014,D12,Controlled Drugs and Substances Act,Other,13
24839,2014,D52,Controlled Drugs and Substances Act,Other,13
25016,2014,D41,Controlled Drugs and Substances Act,Other,1
25104,2014,D42,Controlled Drugs and Substances Act,Other,27
25228,2014,D55,Controlled Drugs and Substances Act,Other,45
25305,2014,D43,Controlled Drugs and Substances Act,Other,33
25387,2014,D11,Controlled Drugs and Substances Act,Other,11
25444,2014,D53,Controlled Drugs and Substances Act,Other,1
